location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"miami, fl",incident,2006-08-31,united states,non-fatal,airplane,boeing,737-400,2.0,turbo fan,0.0,0.0,0.0,0.0,25.793333,-80.290555,no,miami,fl
"san juan, pr",accident,2006-09-05,united states,non-fatal,airplane,boeing,b757-232,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,san juan,pr
"new york, ny",accident,2006-09-08,united states,non-fatal,airplane,embraer,emb-170,2.0,turbo fan,0.0,0.0,0.0,0.0,40.777223,-73.8725,no,new york,ny
"denver, co",accident,2006-10-11,united states,non-fatal,airplane,mcdonnell douglas,md-90-30,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"los angeles, ca",incident,2006-10-19,united states,non-fatal,airplane,boeing,737-790,2.0,turbo fan,0.0,0.0,0.0,0.0,33.948611,-118.413611,no,los angeles,ca
"newark, nj",accident,2006-10-31,united states,non-fatal,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,40.6925,-74.168611,no,newark,nj
"milwaukee, wi",accident,2006-11-07,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,42.947222,-87.896666,no,milwaukee,wi
"milwaukee, wi",accident,2006-11-07,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,42.947222,-87.896666,no,milwaukee,wi
"chicago, il",accident,2006-11-07,united states,non-fatal,airplane,airbus,a-320-200,2.0,turbo fan,0.0,0.0,0.0,0.0,41.978611,-87.904722,no,chicago,il
"memphis, tn",accident,2006-11-10,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,35.038611,-89.972778,no,memphis,tn
"colorado spring, co",incident,2006-12-15,united states,non-fatal,airplane,boeing,737-824,2.0,turbo fan,0.0,1.0,0.0,1.0,38.809167,-104.700833,no,colorado spring,co
"anchorage, ak",accident,2006-12-23,united states,non-fatal,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-3a4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,san diego,ca
"miami, fl",incident,2006-12-26,united states,non-fatal,airplane,boeing,747-436,4.0,turbo fan,0.0,0.0,0.0,0.0,25.793333,-80.290555,no,miami,fl
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,san diego,ca
"jfk, ny",incident,2007-01-07,united states,non-fatal,airplane,mcdonnell douglas,md11,3.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,jfk,ny
